iter	RMSE
0	0.1871258676
1	0.1789210538
2	0.171627501
3	0.1650935746
4	0.1592945983
5	0.1541156127
6	0.1496074926
7	0.1457165273
8	0.1421125871
9	0.1389878496
10	0.1361853054
11	0.1337805088
12	0.1315236745
13	0.1296303019
14	0.1278173319
15	0.1262679371
16	0.1248042168
17	0.123573969
18	0.1225035565
19	0.1215621565
20	0.1206697036
21	0.1198980006
22	0.1191387069
23	0.1185373093
24	0.1177848578
25	0.1171320551
26	0.1166403057
27	0.1161565347
28	0.1156860106
29	0.1153151801
30	0.1149708508
31	0.1146854146
32	0.1143303945
33	0.1140466999
34	0.1137878413
35	0.1134188845
36	0.1131762166
37	0.1129301015
38	0.1127276734
39	0.1125542507
40	0.1123998441
41	0.1122100518
42	0.1120699503
43	0.1119084211
44	0.1117679636
45	0.1116557429
46	0.1114555711
47	0.1113385003
48	0.1112358976
49	0.1111442369
50	0.1110444973
51	0.1108924567
52	0.1107830372
53	0.1107188436
54	0.1105824094
55	0.1104824413
56	0.1103912076
57	0.1103204089
58	0.1102376638
59	0.1101824376
60	0.1101226336
61	0.1099407624
62	0.1097834617
63	0.1097138167
64	0.1096458022
65	0.1095093636
66	0.1094577511
67	0.1094192744
68	0.1093103359
69	0.1091924029
70	0.1090893727
71	0.1090239718
72	0.108984072
73	0.1089452241
74	0.1088954491
75	0.1088559689
76	0.108782486
77	0.1087436756
78	0.1086631467
79	0.1085760067
80	0.1085265907
81	0.1084928655
82	0.1084590218
83	0.1084076773
84	0.1083659102
85	0.1083155954
86	0.1082463246
87	0.1082066274
88	0.1081740907
89	0.108083668
90	0.1079646499
91	0.1078946204
92	0.1078505637
93	0.1077791542
94	0.1077451813
95	0.1077028843
96	0.1076749597
97	0.1076406322
98	0.1075448606
99	0.1074846488
100	0.107449869
101	0.1074239612
102	0.1073868964
103	0.1073476492
104	0.1072756978
105	0.107238574
106	0.1072186309
107	0.1071896887
108	0.1071431713
109	0.1071135861
110	0.1070631421
111	0.1069981959
112	0.1069650726
113	0.1069276601
114	0.1069157204
115	0.1068851172
116	0.1068255017
117	0.1067855813
118	0.1067083679
119	0.1066759744
120	0.1066329267
121	0.1065769407
122	0.1065545397
123	0.1065265965
124	0.1064983273
125	0.1064578985
126	0.1064305001
127	0.1063747877
128	0.106354931
129	0.1063301449
130	0.1063079813
131	0.1062700116
132	0.106238397
133	0.1062085878
134	0.1061871874
135	0.1061616177
136	0.1061166061
137	0.1060921083
138	0.1060643399
139	0.1060252531
140	0.106003756
141	0.1059604142
142	0.1058957504
143	0.1058481273
144	0.1058304929
145	0.1058046136
146	0.1057744572
147	0.1057483883
148	0.1057273464
149	0.105703674
150	0.1056726911
151	0.1056296968
152	0.1056026604
153	0.105560409
154	0.1055427329
155	0.1055110627
156	0.1054922528
157	0.1054613423
158	0.1054408237
159	0.1054052811
160	0.1053636442
161	0.1053448701
162	0.1053264844
163	0.1053055612
164	0.1052618648
165	0.1052392258
166	0.105217552
167	0.1051884123
168	0.105171455
169	0.1051481961
170	0.1051249437
171	0.105108689
172	0.1050874061
173	0.10506123
174	0.1050440962
175	0.1050190845
176	0.1050012014
177	0.1049624626
178	0.1049414229
179	0.1049206825
180	0.1048860776
181	0.104867649
182	0.1048518591
183	0.1048335698
184	0.1047999591
185	0.1047818497
186	0.1047686388
187	0.1047452675
188	0.1047254559
189	0.1047019775
190	0.1046728609
191	0.1046566303
192	0.1046319514
193	0.1046143221
194	0.1045984778
195	0.1045856926
196	0.1045769373
197	0.1045442209
198	0.1045198065
199	0.1045033571
200	0.104470785
201	0.1044464667
202	0.1044363419
203	0.104405948
204	0.1043853689
205	0.1043753719
206	0.1043425548
207	0.1043172397
208	0.1042991896
209	0.1042765443
210	0.1042505615
211	0.1042224636
212	0.1042078175
213	0.1041944702
214	0.1041666658
215	0.1041489606
216	0.1041353969
217	0.1041163943
218	0.104095855
219	0.1040746918
220	0.1040519587
221	0.1040313578
222	0.1040109707
223	0.1039937326
224	0.1039812036
225	0.1039612132
226	0.1039434388
227	0.1039183919
228	0.1039014385
229	0.1038812985
230	0.1038619091
231	0.1038420642
232	0.1038224025
233	0.1038069331
234	0.1037914038
235	0.1037713624
236	0.1037550884
237	0.1037359036
238	0.1037223972
239	0.1037048426
240	0.1036871737
241	0.1036552058
242	0.103638381
243	0.1036261938
244	0.1036118303
245	0.1035964457
246	0.1035811784
247	0.1035666294
248	0.1035510049
249	0.1035376567
250	0.1035239311
251	0.1035084298
252	0.1034971761
253	0.1034772479
254	0.103455447
255	0.1034369948
256	0.1034044199
257	0.1033940559
258	0.1033811292
259	0.1033635742
260	0.1033529055
261	0.1033414411
262	0.1033235021
263	0.1033011825
264	0.1032841567
265	0.103272131
266	0.1032565996
267	0.1032429606
268	0.103228259
269	0.1032143908
270	0.103201766
271	0.1031822804
272	0.1031667254
273	0.1031521703
274	0.1031349741
275	0.1031160855
276	0.1031045374
277	0.1030853915
278	0.1030675819
279	0.1030492461
280	0.1030359191
281	0.1030142845
282	0.1030016255
283	0.1029863694
284	0.1029683084
285	0.1029575826
286	0.1029464202
287	0.1029298979
288	0.1029228319
289	0.1029064945
290	0.1028994183
291	0.102886634
292	0.1028691583
293	0.1028570262
294	0.1028419791
295	0.1028245723
296	0.1028114304
297	0.1027959628
298	0.1027851403
299	0.1027673297
300	0.1027513054
301	0.1027371724
302	0.1027292645
303	0.1027201404
304	0.1026975921
305	0.1026890103
306	0.102680703
307	0.1026645924
308	0.1026519045
309	0.1026330044
310	0.1026201858
311	0.1026137821
312	0.1026010324
313	0.1025875194
314	0.1025753917
315	0.1025590638
316	0.1025485009
317	0.1025341083
318	0.1025205034
319	0.1025101309
320	0.1024950612
321	0.1024797902
322	0.102469024
323	0.1024538895
324	0.1024435014
325	0.1024252247
326	0.102413928
327	0.1024039392
328	0.102395234
329	0.1023819687
330	0.1023778928
331	0.1023595945
332	0.1023498779
333	0.1023354264
334	0.1023218924
335	0.1023094051
336	0.1022932828
337	0.1022826266
338	0.1022709484
339	0.1022566698
340	0.1022489136
341	0.1022396732
342	0.1022238169
343	0.1022140657
344	0.1021971246
345	0.1021850942
346	0.1021746534
347	0.1021675042
348	0.1021564298
349	0.1021443402
350	0.1021335245
351	0.1021259112
352	0.102118547
353	0.1021061635
354	0.1020919295
355	0.1020756726
356	0.1020647065
357	0.1020533919
358	0.1020423222
359	0.1020283447
360	0.1020188185
361	0.1020070039
362	0.1019953264
363	0.1019872283
364	0.1019768712
365	0.1019630074
366	0.1019424777
367	0.1019298444
368	0.10192267
369	0.1019137543
370	0.1019070937
371	0.1018946037
372	0.1018847204
373	0.1018724414
374	0.1018580095
375	0.1018493792
376	0.1018340484
377	0.1018237596
378	0.1018138287
379	0.1018035675
380	0.1017946491
381	0.1017815467
382	0.1017730487
383	0.1017611306
384	0.1017531001
385	0.1017434238
386	0.1017334601
387	0.1017203956
388	0.1017163554
389	0.1017070983
390	0.1016905026
391	0.1016802458
392	0.101667794
393	0.1016529764
394	0.1016456535
395	0.101634799
396	0.1016263944
397	0.1016227942
398	0.1016138396
399	0.1015973184
400	0.1015889971
401	0.1015751256
402	0.1015685769
403	0.1015613111
404	0.1015545721
405	0.1015464102
406	0.1015367546
407	0.101521836
408	0.1015131331
409	0.1015060478
410	0.1014919
411	0.1014839321
412	0.101475654
413	0.1014677386
414	0.1014577616
415	0.1014518512
416	0.1014386617
417	0.1014262409
418	0.1014170016
419	0.1014050258
420	0.1013970904
421	0.1013843747
422	0.1013727563
423	0.1013611718
424	0.1013485244
425	0.1013404907
426	0.1013322491
427	0.1013266095
428	0.1013194666
429	0.1013120349
430	0.1013015209
431	0.1012930915
432	0.1012831117
433	0.1012746614
434	0.101266938
435	0.101259412
436	0.1012531054
437	0.1012439056
438	0.1012361196
439	0.1012247052
440	0.101210085
441	0.1012028734
442	0.1011934744
443	0.1011851399
444	0.1011760592
445	0.1011687074
446	0.1011612264
447	0.1011485092
448	0.1011396759
449	0.101129981
450	0.1011180793
451	0.1011106714
452	0.101099549
453	0.1010949651
454	0.1010880661
455	0.1010785274
456	0.101068894
457	0.1010593544
458	0.1010469596
459	0.1010373705
460	0.1010265104
461	0.101021453
462	0.1010138465
463	0.1010087494
