iter	Passed	Remaining
155	1099	5946
156	1104	5932
157	1110	5918
158	1116	5907
159	1123	5896
160	1128	5879
161	1133	5865
162	1139	5850
163	1144	5832
164	1149	5818
165	1154	5801
166	1159	5785
167	1165	5770
168	1170	5757
169	1175	5741
170	1181	5727
171	1186	5712
172	1191	5696
173	1197	5683
174	1202	5670
175	1207	5654
176	1213	5642
177	1219	5632
178	1226	5623
179	1232	5616
180	1239	5610
181	1246	5600
182	1252	5591
183	1257	5576
184	1263	5565
185	1268	5550
186	1272	5534
187	1278	5520
188	1283	5507
189	1288	5491
190	1293	5480
191	1299	5468
192	1304	5453
193	1309	5440
194	1315	5430
195	1320	5415
196	1325	5401
197	1331	5391
198	1336	5379
199	1341	5365
200	1347	5354
201	1351	5340
202	1356	5325
203	1362	5314
204	1367	5304
205	1372	5291
206	1378	5282
207	1384	5269
208	1389	5257
209	1394	5247
210	1400	5236
211	1405	5224
212	1411	5216
213	1416	5204
214	1425	5202
215	1431	5196
216	1438	5189
217	1444	5182
218	1450	5173
219	1455	5160
220	1460	5149
221	1465	5137
222	1471	5125
223	1476	5114
224	1480	5100
225	1485	5088
226	1491	5077
227	1496	5067
228	1501	5054
229	1506	5045
230	1512	5035
231	1517	5023
232	1523	5015
233	1529	5007
234	1534	4996
235	1540	4986
236	1545	4974
237	1550	4963
238	1555	4952
239	1560	4942
240	1565	4930
241	1571	4921
242	1576	4911
243	1581	4899
244	1586	4888
245	1591	4879
246	1596	4867
247	1601	4855
248	1606	4846
249	1612	4836
250	1617	4826
251	1623	4818
252	1629	4809
253	1635	4803
254	1641	4796
255	1647	4787
256	1653	4780
257	1659	4771
258	1663	4760
259	1669	4752
260	1674	4742
261	1679	4731
262	1684	4721
263	1690	4713
264	1695	4703
265	1701	4695
266	1707	4686
267	1711	4675
268	1717	4666
269	1723	4659
270	1728	4649
271	1733	4640
272	1739	4631
273	1743	4620
274	1749	4611
275	1754	4602
276	1759	4591
277	1764	4581
278	1769	4573
279	1774	4562
280	1779	4552
281	1785	4545
282	1791	4539
283	1797	4532
284	1804	4526
285	1810	4518
286	1818	4516
287	1824	4511
288	1831	4506
289	1838	4502
290	1846	4499
291	1857	4503
292	1870	4513
293	1878	4511
294	1884	4503
295	1889	4493
296	1893	4482
297	1899	4475
298	1904	4465
299	1909	4456
300	1915	4448
301	1922	4442
302	1926	4431
303	1931	4423
304	1937	4415
305	1942	4405
306	1947	4396
307	1952	4387
308	1957	4378
309	1963	4370
310	1969	4362
311	1974	4353
312	1979	4344
313	1985	4337
314	1990	4327
315	1995	4319
316	2000	4310
317	2005	4301
318	2011	4294
319	2017	4286
320	2022	4278
321	2028	4271
322	2034	4265
323	2040	4257
324	2046	4250
325	2052	4244
326	2057	4234
327	2062	4226
328	2067	4217
329	2072	4208
330	2078	4200
331	2083	4192
332	2088	4182
333	2093	4174
334	2098	4166
335	2103	4157
336	2109	4149
337	2115	4142
338	2119	4133
339	2125	4125
340	2130	4117
341	2135	4108
342	2140	4100
343	2146	4092
344	2151	4084
345	2157	4078
346	2163	4070
347	2167	4061
348	2173	4054
349	2179	4047
350	2184	4038
351	2188	4029
352	2194	4021
353	2199	4013
354	2204	4004
355	2210	3998
356	2215	3990
357	2220	3982
358	2227	3977
359	2234	3972
360	2240	3965
361	2247	3960
362	2252	3952
363	2258	3945
364	2263	3937
365	2268	3929
366	2274	3922
367	2279	3913
368	2283	3905
369	2289	3898
370	2294	3890
371	2299	3882
372	2305	3875
373	2311	3868
374	2316	3860
375	2322	3853
376	2328	3847
377	2332	3838
378	2338	3831
379	2344	3824
380	2349	3816
381	2354	3809
382	2360	3802
383	2365	3794
384	2370	3786
385	2375	3779
386	2380	3771
387	2386	3764
388	2391	3756
389	2396	3747
390	2401	3741
391	2408	3736
392	2414	3729
393	2419	3722
394	2426	3715
395	2431	3708
396	2438	3704
397	2444	3696
398	2448	3688
399	2455	3683
400	2462	3678
401	2468	3672
402	2473	3664
403	2478	3655
404	2483	3648
405	2488	3640
406	2493	3632
407	2498	3625
408	2504	3618
409	2509	3611
410	2514	3603
411	2520	3597
412	2526	3590
413	2531	3582
414	2536	3575
415	2541	3567
416	2546	3559
417	2551	3553
418	2556	3545
419	2561	3537
420	2567	3530
421	2572	3523
422	2577	3516
423	2583	3510
424	2589	3502
425	2593	3494
426	2599	3487
427	2604	3480
428	2609	3473
429	2615	3467
430	2621	3461
431	2628	3456
432	2634	3450
433	2652	3458
434	2665	3462
435	2671	3455
436	2676	3447
437	2681	3440
438	2686	3433
439	2691	3425
440	2697	3419
441	2702	3411
442	2707	3404
443	2712	3397
444	2718	3390
445	2723	3383
446	2728	3375
447	2734	3368
448	2738	3360
449	2743	3353
450	2749	3346
451	2754	3339
452	2759	3331
453	2764	3324
454	2769	3317
455	2774	3309
456	2779	3303
457	2785	3296
458	2790	3289
459	2796	3282
460	2801	3275
461	2806	3267
462	2812	3261
463	2817	3255
464	2823	3248
465	2829	3242
466	2836	3237
467	2841	3229
468	2847	3223
469	2852	3216
470	2857	3209
471	2862	3202
472	2867	3194
473	2872	3187
474	2877	3180
475	2882	3173
476	2887	3166
477	2893	3159
478	2898	3152
479	2902	3144
480	2908	3137
481	2914	3131
482	2919	3124
483	2924	3118
484	2929	3110
485	2934	3103
486	2939	3096
487	2945	3090
488	2949	3082
489	2954	3075
490	2959	3068
491	2964	3061
492	2969	3053
493	2975	3047
494	2980	3040
495	2984	3032
496	2991	3027
497	2996	3020
498	3001	3013
499	3007	3007
500	3013	3001
501	3019	2995
502	3025	2989
503	3031	2983
504	3036	2976
505	3043	2971
506	3048	2964
507	3053	2957
508	3058	2950
509	3063	2943
510	3068	2936
511	3074	2930
512	3079	2923
513	3084	2916
514	3090	2910
515	3095	2903
516	3099	2895
517	3105	2889
518	3111	2883
519	3116	2877
520	3122	2870
521	3127	2863
522	3132	2857
523	3138	2850
524	3143	2843
525	3147	2836
526	3153	2830
527	3158	2823
528	3163	2816
529	3169	2810
530	3175	2804
531	3179	2797
532	3184	2790
533	3190	2783
534	3195	2776
535	3199	2770
536	3206	2764
537	3212	2758
538	3218	2752
539	3224	2746
540	3229	2740
541	3235	2734
542	3242	2729
543	3248	2723
544	3254	2716
545	3259	2710
546	3264	2703
547	3269	2696
548	3274	2689
549	3278	2682
550	3284	2676
551	3289	2669
552	3294	2662
553	3299	2656
554	3305	2650
555	3309	2643
556	3314	2636
557	3320	2630
558	3325	2623
559	3330	2616
560	3335	2610
561	3340	2603
562	3345	2596
563	3351	2590
564	3356	2584
565	3361	2577
566	3366	2571
567	3372	2564
568	3376	2557
569	3382	2551
570	3387	2545
571	3393	2538
572	3398	2532
573	3405	2527
574	3410	2520
575	3416	2514
576	3421	2508
577	3429	2503
578	3435	2498
579	3451	2499
580	3461	2496
581	3469	2491
582	3476	2486
583	3482	2480
584	3487	2473
585	3492	2467
586	3498	2461
587	3504	2455
588	3508	2448
589	3514	2442
590	3519	2435
591	3524	2429
592	3529	2422
593	3534	2416
594	3539	2409
595	3544	2402
596	3549	2396
597	3554	2389
598	3560	2383
599	3565	2376
600	3570	2370
601	3575	2363
602	3580	2357
603	3585	2350
604	3591	2344
605	3596	2338
606	3602	2332
607	3608	2326
608	3613	2320
609	3619	2314
610	3625	2308
611	3632	2302
612	3638	2296
613	3643	2290
614	3648	2284
615	3653	2277
616	3659	2271
617	3664	2264
618	3669	2258
619	3674	2252
620	3680	2246
621	3685	2239
622	3690	2233
623	3697	2227
624	3701	2221
625	3707	2214
626	3712	2208
627	3717	2202
628	3722	2195
629	3728	2189
630	3732	2182
631	3738	2176
632	3743	2170
633	3748	2163
634	3753	2157
635	3759	2151
636	3764	2145
637	3768	2138
638	3774	2132
639	3779	2125
640	3783	2119
641	3789	2113
642	3795	2107
643	3801	2101
644	3807	2095
645	3812	2089
646	3819	2084
647	3825	2078
648	3831	2072
649	3837	2066
650	3843	2060
651	3847	2053
652	3853	2047
653	3859	2041
654	3864	2035
655	3869	2029
656	3874	2022
657	3879	2016
658	3884	2010
659	3890	2004
660	3895	1998
661	3901	1991
662	3906	1985
663	3911	1979
664	3916	1972
665	3921	1966
666	3926	1960
667	3931	1953
668	3936	1947
669	3941	1941
670	3946	1935
671	3952	1929
672	3957	1922
673	3962	1916
674	3967	1910
675	3973	1904
676	3978	1898
677	3983	1892
678	3990	1886
679	3994	1879
680	4001	1874
681	4006	1868
682	4012	1862
683	4018	1856
684	4023	1850
685	4029	1844
686	4035	1838
687	4041	1832
688	4046	1826
689	4051	1820
690	4056	1814
691	4061	1807
692	4067	1802
693	4072	1795
694	4077	1789
695	4083	1783
696	4088	1777
697	4093	1771
698	4099	1765
699	4104	1759
700	4108	1752
701	4114	1746
702	4119	1740
703	4124	1734
704	4130	1728
705	4136	1722
706	4140	1716
707	4145	1709
708	4151	1703
709	4156	1697
710	4161	1691
711	4166	1685
712	4171	1679
713	4176	1672
714	4182	1667
715	4188	1661
716	4193	1654
717	4198	1648
718	4203	1642
719	4208	1636
720	4214	1630
721	4220	1625
722	4226	1619
723	4241	1617
724	4254	1613
725	4264	1609
726	4268	1603
727	4273	1596
728	4279	1591
729	4286	1585
730	4291	1579
731	4296	1573
732	4301	1566
733	4306	1560
734	4312	1554
735	4317	1548
736	4321	1542
737	4327	1536
738	4332	1530
739	4336	1523
740	4342	1517
741	4347	1511
742	4351	1505
743	4356	1499
744	4362	1493
745	4367	1487
746	4372	1481
747	4379	1475
748	4385	1469
749	4390	1463
750	4396	1457
751	4401	1451
752	4407	1445
753	4413	1440
754	4419	1434
755	4426	1428
756	4431	1422
757	4435	1416
758	4443	1410
759	4457	1407
760	4474	1405
761	4490	1402
762	4512	1401
763	4518	1395
764	4526	1390
765	4535	1385
766	4544	1380
767	4549	1374
768	4554	1368
769	4559	1361
770	4564	1355
771	4569	1349
772	4575	1343
773	4581	1337
774	4586	1331
775	4592	1325
776	4598	1319
777	4603	1313
778	4610	1307
779	4616	1301
780	4621	1296
781	4628	1290
782	4632	1283
783	4638	1278
784	4644	1272
785	4650	1266
786	4655	1260
787	4660	1253
788	4665	1247
789	4670	1241
790	4676	1235
791	4680	1229
792	4686	1223
793	4691	1217
794	4696	1211
795	4702	1205
796	4708	1199
797	4712	1192
798	4718	1186
799	4723	1180
800	4729	1174
801	4734	1168
802	4739	1162
803	4744	1156
804	4749	1150
805	4755	1144
806	4760	1138
807	4765	1132
808	4771	1126
809	4776	1120
810	4781	1114
811	4787	1108
812	4792	1102
813	4797	1096
814	4802	1090
815	4808	1084
816	4814	1078
817	4821	1072
818	4826	1066
819	4832	1060
820	4837	1054
821	4842	1048
822	4848	1042
823	4854	1036
824	4858	1030
825	4864	1024
826	4869	1018
827	4875	1012
828	4880	1006
829	4886	1000
830	4891	994
831	4897	988
832	4902	982
833	4907	976
834	4912	970
835	4918	964
836	4922	958
837	4928	952
838	4933	946
839	4938	940
840	4942	934
841	4948	928
842	4953	922
843	4958	916
844	4964	910
845	4970	904
846	4975	898
847	4980	892
848	4984	886
849	4989	880
850	4996	874
851	5001	868
852	5006	862
853	5012	856
854	5019	851
855	5025	845
856	5035	840
857	5044	834
858	5054	829
859	5060	823
860	5068	818
861	5075	812
862	5081	806
863	5086	800
864	5091	794
865	5096	788
866	5102	782
867	5107	776
868	5112	770
869	5117	764
870	5122	758
871	5127	752
872	5133	746
873	5137	740
874	5143	734
875	5148	728
876	5153	722
877	5159	716
878	5165	711
879	5170	705
880	5176	699
881	5181	693
882	5186	687
883	5192	681
884	5198	675
885	5203	669
886	5209	663
887	5215	657
888	5221	651
889	5228	646
890	5233	640
891	5239	634
892	5244	628
893	5249	622
894	5254	616
895	5260	610
896	5265	604
897	5270	598
898	5275	592
899	5280	586
900	5285	580
901	5291	574
902	5295	568
903	5301	562
904	5307	557
905	5311	551
906	5316	545
907	5322	539
908	5327	533
909	5332	527
910	5337	521
911	5343	515
912	5348	509
913	5353	503
914	5359	497
915	5365	492
916	5370	486
917	5376	480
918	5380	474
919	5386	468
920	5391	462
921	5398	456
922	5404	450
923	5409	444
924	5417	439
925	5422	433
926	5428	427
927	5433	421
928	5441	415
929	5445	409
930	5451	404
931	5457	398
932	5462	392
933	5467	386
934	5472	380
935	5477	374
936	5483	368
937	5488	362
938	5493	356
939	5498	350
940	5503	345
941	5508	339
942	5513	333
943	5518	327
944	5523	321
945	5528	315
946	5534	309
947	5539	303
948	5544	297
949	5549	292
950	5555	286
951	5560	280
952	5565	274
953	5570	268
954	5575	262
955	5581	256
956	5586	251
957	5591	245
958	5597	239
959	5603	233
960	5608	227
961	5615	221
962	5622	216
963	5630	210
964	5636	204
965	5641	198
966	5648	192
967	5654	186
968	5659	181
969	5665	175
970	5670	169
971	5675	163
972	5681	157
973	5686	151
974	5691	145
975	5696	140
976	5702	134
977	5708	128
978	5713	122
979	5718	116
980	5722	110
981	5727	104
982	5733	99
983	5738	93
984	5744	87
985	5749	81
986	5755	75
987	5760	69
988	5766	64
989	5771	58
990	5777	52
991	5782	46
992	5787	40
993	5793	34
994	5798	29
995	5804	23
996	5811	17
997	5818	11
998	5841	5
999	5850	0
